symbol,date,open,high,low,close,change,changePercent,label
MSFT,2023-12-08,369.2,374.46,368.23,374.23,5.03,1.36,"December 08, 23"
MSFT,2023-12-07,368.23,371.45,366.32,370.95,2.72,0.73867,"December 07, 23"
MSFT,2023-12-06,373.54,374.18,368.03,368.8,-4.74,-1.27,"December 06, 23"
MSFT,2023-12-05,366.45,373.08,365.62,372.52,6.07,1.66,"December 05, 23"
MSFT,2023-12-04,369.1,369.52,362.9,369.14,0.04,0.01083717,"December 04, 23"
MSFT,2023-12-01,376.76,378.16,371.31,374.51,-2.25,-0.5972,"December 01, 23"
MSFT,2023-11-30,378.49,380.09,375.47,378.91,0.42,0.11097,"November 30, 23"
MSFT,2023-11-29,383.76,384.3,377.44,378.85,-4.91,-1.28,"November 29, 23"
MSFT,2023-11-28,378.35,383,378.16,382.7,4.35,1.15,"November 28, 23"
MSFT,2023-11-27,376.78,380.64,376.2,378.61,1.83,0.48569,"November 27, 23"
